method,seed,bits,noise_std,mse_interp,mse_extrap,l_physics,train_s
B_PINN,4,6,0.0,0.010551384650170803,0.012965166941285133,0.026228968054056168,13.2147696018219
B_PINN,4,6,0.05,0.011340531520545483,0.014858655631542206,0.029597807675600052,13.2147696018219
B_PINN,4,6,0.1,0.014049657620489597,0.01741832308471203,0.04259312152862549,13.2147696018219
B_PINN,4,8,0.0,0.008865544572472572,0.015436636283993721,0.02870233915746212,13.2147696018219
B_PINN,4,8,0.05,0.009366285987198353,0.018132910132408142,0.02660088613629341,13.2147696018219
B_PINN,4,8,0.1,0.01174242701381445,0.02192245051264763,0.03603259101510048,13.2147696018219
D_AdaPINN,0,2,0.0,0.13764767348766327,0.07265228778123856,0.2838467061519623,14.975871324539185
D_AdaPINN,0,2,0.05,0.14533314108848572,0.06968702375888824,0.2019137591123581,14.975871324539185
D_AdaPINN,0,2,0.1,0.1548444926738739,0.06240059807896614,0.14189191162586212,14.975871324539185
D_AdaPINN,0,4,0.0,0.01926972158253193,0.01632213406264782,0.03317726403474808,14.975871324539185
D_AdaPINN,0,4,0.05,0.022238219156861305,0.016621707007288933,0.0454801544547081,14.975871324539185
D_AdaPINN,0,4,0.1,0.027099739760160446,0.017961127683520317,0.08148818463087082,14.975871324539185
D_AdaPINN,0,6,0.0,0.01586734503507614,0.022328199818730354,0.04576960206031799,14.975871324539185
D_AdaPINN,0,6,0.05,0.01846308261156082,0.02286642976105213,0.0655539482831955,14.975871324539185
D_AdaPINN,0,6,0.1,0.022921351715922356,0.024779019877314568,0.11064455658197403,14.975871324539185
D_AdaPINN,0,8,0.0,0.018360625952482224,0.018112463876605034,0.037218719720840454,14.975871324539185
D_AdaPINN,0,8,0.05,0.02126200869679451,0.018565360456705093,0.05109928920865059,14.975871324539185
D_AdaPINN,0,8,0.1,0.026076126843690872,0.020205551758408546,0.08980977535247803,14.975871324539185
D_AdaPINN,1,2,0.0,0.005899784620851278,0.01851719617843628,0.031266938894987106,13.738012552261353
D_AdaPINN,1,2,0.05,0.006548251491039991,0.01839432120323181,0.036086637526750565,13.738012552261353
